Indv Name,Date and Time,Helio X,Helio Y,ERR 68,ERR 95,AR Number,AR Position,Angular Dist,Relative Distance (95)
110906925,2011-09-06 22:11 - 22:47,219,533,139,220,11283,N14W18,382,1.7
120307028,2012-03-07 00:40 - 01:20,-562,231,56,84,11429,N17E15,45,0.5
120307161,2012-03-07 03:51 - 04:31,-300,342,84,144,11429,N17E15,143,1.0
120307294,2012-03-07 07:02 - 07:42,-320,20,126,203,11429,N17E15,331,1.6
120307426,2012-03-07 10:14 - 10:54,207,245,291,462,11429,N17E15,707,1.5
120706970,2012-07-06 23:20 - 00:08,530,-432,362,586,11515,S18W64,122,0.2
130514104,2013-05-14 02:43 - 03:31,-1137,333,314,504,11748,N12E67,279,0.6
131011272,2013-10-11 06:56 - 07:39,-930,311,151,263,btl,N21E103,-,-
140225048,2014-02-25 01:09 - 01:29,-933,-347,92,147,11990,S15E65,63,0.4
140225181,2014-02-25 04:20 - 04:40,-982,-213,358,574,11990,S15E65,109,0.2
140901460,2014-09-01 11:02 - 11:18,-1126,-182,202,322,btl,N14E126,-,-
170910662,2017-09-10 15:52 - 16:28,847,-207,59,95,12673,S08W88,72,0.8
170910794,2017-09-10 19:03 - 19:39,1034,-131,104,166,12673,S08W88,168,1.0
170910926,2017-09-10 22:13 - 22:49,1139,137,271,443,12673,S08W88,336,0.8
