week,counts,exposure,flux
82,398145,496561120.0,0.0008018046197414731
107,345625,402439840.0,0.0008588240170257497
134,399365,447881660.0,0.000891675261794151
142,393596,416072600.0,0.0009459791210287989
144,380277,455885440.0,0.0008341503514567169
150,347679,162536290.0,0.0021390853961178197
164,360957,321739550.0,0.0011218919083967644
168,341264,358571330.0,0.0009517325378564568
170,341418,281865300.0,0.0012112806559183842
185,329598,351998980.0,0.000936360678503792
187,374370,407338700.0,0.0009190632047206869
194,358872,379340030.0,0.0009460430477319093
195,380961,416464100.0,0.0009147511241881461
203,400402,416006600.0,0.000962489555934729
211,394351,459503870.0,0.0008582103961030387
212,371110,491425660.0,0.0007551701654718627
214,330222,214340460.0,0.001540642367929184
217,359075,321073760.0,0.0011183567289958544
219,379189,462630880.0,0.00081963616436499
222,345172,329322700.0,0.0010481269969471402
230,337207,341623170.0,0.0009870729844645666
256,382515,382686460.0,0.00099955194652508
260,334445,380659100.0,0.0008785945127428241
275,345131,330444800.0,0.0010444437316005578
280,395523,480673920.0,0.0008228509672419922
281,306806,257875500.0,0.001189744645152492
285,346207,312761250.0,0.0011069370077459212
287,396050,474980200.0,0.0008338242450329381
297,449484,565400450.0,0.0007949834521531896
298,427118,518810000.0,0.0008232648044028389
301,389055,784011800.0,0.0004962361687791792
313,367169,584951800.0,0.0006276910251040715
319,460164,630906050.0,0.0007293700883970603
321,393990,334007900.0,0.0011795828640031225
324,371444,690041800.0,0.0005382920343468124
325,435033,500070270.0,0.0008699437346277605
356,486721,772325250.0,0.0006302021088400311
363,407488,472906530.0,0.0008616671072893289
370,390912,390943140.0,0.0009999203567037432
375,334854,318571800.0,0.0010511099588573763
381,354684,346189570.0,0.001024536938097453
482,352515,309112130.0,0.001140411417309385
483,378202,369900380.0,0.001022442842341034
506,388882,448427520.0,0.0008672126099664891
