Indv Name,Date and Time,Exposure (min),Flux,TS,D_TS,Model,Photon Index,Cutoff Energy,Proton index
110307841,2011-03-07 20:10 - 20:39,29, 2.06 \pm 0.19  ,317,27,Exp,-0.76\pm0.45,172\pm55, 4.3 \pm 0.4  
110307973,2011-03-07 23:21 - 00:05,44, 3.04 \pm 0.20  ,710,70,Exp,-0.31\pm0.36,138\pm27, 4.13 \pm 0.26  
110308106,2011-03-08 02:33 - 03:16,43, 3.23 \pm 0.22  ,621,66,Exp,-0.15\pm0.41,110\pm22, 4.70 \pm 0.32  
110308239,2011-03-08 05:44 - 06:27,44, 1.40 \pm 0.15  ,219,32,Exp,0.67\pm0.99,63\pm22,>6
110308366,2011-03-08 09:13 - 09:39,26, 0.48 \pm 0.11  ,46,-0.1,PL,-2.55\pm0.25,-,-
110607315,2011-06-07 07:47 - 08:23,36, 3.18 \pm 0.20  ,740,76,Exp,-0.13\pm0.37,104\pm19, 4.97 \pm 0.33  
110607450,2011-06-07 11:16 - 11:34,19, 0.32 \pm 0.10  ,19,5,PL,-2.70\pm0.35,-,-
110804205,2011-08-04 04:55 - 05:37,42, 2.30 \pm 0.18  ,413,49,Exp,-0.09\pm0.50,95\pm21, 5.4 \pm 0.4  
110809298,2011-08-09 07:37 - 08:09,32, 2.29 \pm 0.23  *,186,26,Exp,-0.04\pm0.87,91\pm37, 5.4 \pm 0.6  
110906925,2011-09-06 22:11 - 22:47,36, 22.8 \pm 0.4  *,8197,437,Exp,-0.89\pm0.09,161\pm11, 4.89 \pm 0.11  
110907983,2011-09-07 23:35 - 00:23,48, 0.77 \pm 0.08  ,270,30,Exp,-0.10\pm0.69,114\pm40, 4.4 \pm 0.5  
110924370,2011-09-24 09:18 - 09:47,30, 0.50 \pm 0.10  *,50,5,PL,-2.51\pm0.22,-,-
120123171,2012-01-23 04:06 - 04:46,40, 1.12 \pm 0.11  ,258,26,Exp,0.12\pm1.09,81\pm40, 5.5 \pm 0.6  
120123224,2012-01-23 05:33 - 06:21,48, 1.99 \pm 0.12  ,796,92,Exp,0.25\pm0.41,80\pm13, 5.6 \pm 0.4  
120123306,2012-01-23 07:20 - 07:47,27, 1.97 \pm 0.31  ,93,12,Exp,-0.25\pm1.05,100\pm49, 5.5 \pm 0.9  
120123366,2012-01-23 08:58 - 09:26,28, 1.63 \pm 0.23  ,116,27,Exp,1.81\pm1.41,51\pm18, 5.6 \pm 0.8  
120127818,2012-01-27 19:37 - 19:55,18, 3.3 \pm 0.5  ,102,14,Exp,0.31\pm1.43,65\pm33,>6
120127881,2012-01-27 21:08 - 21:36,28, 0.72 \pm 0.14  ,66,8,PL,-2.53\pm0.20,-,-
120128014,2012-01-28 00:19 - 00:55,36, 0.25 \pm 0.09  ,19,1,PL,-2.60\pm0.39,-,-
120305172,2012-03-05 04:07 - 04:49,42, 0.58 \pm 0.09  ,100,11,Exp,0.34\pm1.33,63\pm31,>6
120305225,2012-03-05 05:36 - 06:24,48, 0.63 \pm 0.07  ,175,16,Exp,-0.20\pm0.85,79\pm31,>6
120305304,2012-03-05 07:18 - 07:54,36, 0.55 \pm 0.11  ,53,6,PL,-2.52\pm0.21,-,-
120307028,2012-03-07 00:40 - 01:20,40, 233 \pm 8  *,75611,-254574,Exp,-0.65\pm0.03,182\pm4, 3.875 \pm 0.025  
120307102,2012-03-07 02:26 - 02:45,18, 75.1 \pm 2.6  ,2377,117,Exp,-1.45\pm0.13,355\pm47, 3.77 \pm 0.10  
120307161,2012-03-07 03:51 - 04:31,40, 95.1 \pm 1.2  ,21100,1459,Exp,-0.84\pm0.05,199\pm8, 4.01 \pm 0.05  
120307235,2012-03-07 05:38 - 05:55,18, 97.3 \pm 3.2  ,2675,249,Exp,-0.59\pm0.17,147\pm14, 4.51 \pm 0.13  
120307294,2012-03-07 07:02 - 07:42,40, 62.8 \pm 1.0  ,12829,1210,Exp,-0.30\pm0.08,120\pm5, 4.71 \pm 0.07  
120307368,2012-03-07 08:49 - 09:06,17, 49.8 \pm 2.5  ,1181,123,Exp,-0.17\pm0.32,102\pm14, 5.17 \pm 0.24  
120307426,2012-03-07 10:14 - 10:54,25, 26.8 \pm 0.9  ,2803,344,Exp,0.27\pm0.21,84\pm7, 5.28 \pm 0.17  
120307559,2012-03-07 13:24 - 14:04,13, 8.6 \pm 0.9  ,258,31,Exp,0.30\pm0.75,78\pm22, 5.7 \pm 0.6  
120307692,2012-03-07 16:35 - 16:48,13, 1.54 \pm 0.32  ,49,10,Exp,1.41\pm1.91,46\pm23,>6
120307766,2012-03-07 18:23 - 18:32,9, 2.2 \pm 0.7  ,25,8,PL,-2.91\pm0.41,-,-
120307824,2012-03-07 19:46 - 20:15,29, 0.26 \pm 0.08  ,22,3,PL,-2.37\pm0.30,-,-
120309217,2012-03-09 05:12 - 05:55,43, 0.27 \pm 0.08  ,32,-0.2,PL,-2.24\pm0.25,-,-
120309283,2012-03-09 06:47 - 07:30,43, 0.96 \pm 0.12  ,139,20,Exp,0.09\pm0.92,87\pm34, 5.5 \pm 0.7  
120309349,2012-03-09 08:22 - 09:05,43, 0.89 \pm 0.12  ,140,28,Exp,1.78\pm1.21,50\pm15, 5.6 \pm 0.8  
120309416,2012-03-09 09:58 - 10:41,22, 0.43 \pm 0.13  ,25,0.3,PL,-2.51\pm0.32,-,-
120310875,2012-03-10 21:00 - 21:34,34, 0.23 \pm 0.06  ,25,2,PL,-2.50\pm0.30,-,-
120310941,2012-03-10 22:35 - 23:15,40, 0.19 \pm 0.06  ,18,3,PL,-3.04\pm0.40,-,-
120517092,2012-05-17 02:12 - 02:44,32, 1.19 \pm 0.19  ,100,10,Exp,-0.72\pm0.77,207\pm117, 3.7 \pm 0.5  
120517159,2012-05-17 03:49 - 04:18,30, 0.44 \pm 0.13  ,29,7,PL,-2.30\pm0.28,-,-
120603735,2012-06-03 17:38 - 18:02,24, 3.06 \pm 0.25  ,395,39,Exp,-0.19\pm0.63,104\pm34, 5.0 \pm 0.4  
120706970,2012-07-06 23:20 - 00:08,48, 3.06 \pm 0.15  ,1173,143,Exp,0.40\pm0.35,74\pm10, 5.75 \pm 0.29  
121023176,2012-10-23 04:13 - 04:43,30, 0.73 \pm 0.18  ,39,9,PL,-2.73\pm0.27,-,-
121113066,2012-11-13 01:34 - 02:14,40, 0.46 \pm 0.09  *,60,7,PL,-2.61\pm0.21,-,-
121127659,2012-11-27 15:48 - 16:34,46, 0.27 \pm 0.07  ,44,2,PL,-2.22\pm0.21,-,-
130411292,2013-04-11 07:00 - 07:39,39, 5.71 \pm 0.24  *,1422,120,Exp,-0.43\pm0.27,105\pm15, 5.67 \pm 0.27  
130513188,2013-05-13 04:31 - 05:14,43, 0.96 \pm 0.11  ,188,36,Exp,3.00\pm0.14,31\pm2,>6
130513719,2013-05-13 17:15 - 17:58,30, 2.41 \pm 0.21  ,371,43,Exp,-0.24\pm0.48,142\pm38, 3.91 \pm 0.31  
130513852,2013-05-13 20:26 - 21:09,43, 1.72 \pm 0.14  ,371,43,Exp,0.21\pm0.73,80\pm25, 5.5 \pm 0.5  
130514047,2013-05-14 01:08 - 01:55,47, 1.02 \pm 0.09  *,292,46,Exp,0.55\pm0.67,65\pm15,>6
130514104,2013-05-14 02:43 - 03:31,47, 3.30 \pm 0.15  ,1518,193,Exp,0.62\pm0.32,77\pm9, 4.95 \pm 0.24  
130514180,2013-05-14 04:19 - 05:06,47, 2.32 \pm 0.16  ,546,87,Exp,1.26\pm0.61,54\pm9, 5.9 \pm 0.4  
130514232,2013-05-14 05:59 - 06:42,42, 0.59 \pm 0.09  ,105,19,Exp,1.05\pm1.43,54\pm24,>6
130515175,2013-05-15 04:12 - 04:58,46, 0.36 \pm 0.07  ,51,9,PL,-2.62\pm0.22,-,-
131011272,2013-10-11 06:56 - 07:39,42, 12.5 \pm 0.4  ,3949,317,Exp,-0.34\pm0.16,131\pm12, 4.33 \pm 0.12  
131025344,2013-10-25 08:15 - 08:57,42, 1.15 \pm 0.12  *,211,21,Exp,0.07\pm0.88,79\pm30, 6 \pm 4  
131028648,2013-10-28 15:45 - 16:05,21, 0.81 \pm 0.12  ,120,8,PL,-2.32\pm0.15,-,-
140106309,2014-01-06 07:55 - 08:30,34, 0.42 \pm 0.09  ,52,13,Exp,1.84\pm2.16,49\pm26, 5.8 \pm 1.9  
140107778,2014-01-07 18:41 - 19:29,48, 0.29 \pm 0.07  ,32,5,PL,-2.68\pm0.27,-,-
140225048,2014-02-25 01:09 - 01:29,20, 169.6 \pm 2.0  *,24030,2121,Exp,-0.33\pm0.06,154\pm5, 3.78 \pm 0.04  
140225181,2014-02-25 04:20 - 04:40,20, 28.3 \pm 0.9  ,2707,370,Exp,1.17\pm0.28,47\pm4,>6
140225313,2014-02-25 07:30 - 07:51,21, 0.87 \pm 0.17  ,74,11,Exp,2.39\pm2.53,29\pm14,>6
140610584,2014-06-10 14:00 - 14:26,25, 1.17 \pm 0.26  ,49,5,PL,-2.47\pm0.22,-,-
140611379,2014-06-11 09:06 - 09:30,24, 0.99 \pm 0.26  *,30,3,PL,-2.77\pm0.30,-,-
140901460,2014-09-01 11:02 - 11:18,16, 379 \pm 7  ,41620,-5590,Exp,-1.03\pm0.09,177\pm10, 4.70 \pm 0.07  
140901518,2014-09-01 12:25 - 12:57,32, 2.98 \pm 0.22  ,545,31,Exp,-1.16\pm0.29,290\pm82, 3.72 \pm 0.24  
140910733,2014-09-10 17:35 - 17:53,18, 7.4 \pm 0.5  *,559,66,Exp,0.35\pm0.54,86\pm20, 4.66 \pm 0.34  
150621090,2015-06-21 02:09 - 02:42,33, 0.25 \pm 0.08  ,23,5,PL,-3.05\pm0.39,-,-
150621222,2015-06-21 05:19 - 05:53,33, 1.26 \pm 0.15  ,162,16,Exp,-0.18\pm0.74,118\pm44, 4.3 \pm 0.6  
150621354,2015-06-21 08:30 - 09:03,33, 0.81 \pm 0.13  ,101,12,Exp,0.03\pm1.14,110\pm57, 4.2 \pm 0.7  
150621487,2015-06-21 11:40 - 12:14,33, 0.38 \pm 0.10  ,31,10,Exp,2.05\pm2.61,49\pm29,>6
150625392,2015-06-25 09:24 - 10:09,45, 0.40 \pm 0.08  ,48,6,PL,-2.72\pm0.22,-,-
170906347,2017-09-06 08:51 - 09:19,28, 1.31 \pm 0.16  *,130,21,Exp,0.59\pm1.05,60\pm22,>6
170906490,2017-09-06 12:10 - 12:35,25, 0.96 \pm 0.11  *,156,17,Exp,0.05\pm1.06,58\pm23,>6
170906549,2017-09-06 13:23 - 14:10,26, 2.63 \pm 0.17  *,604,66,Exp,0.39\pm0.55,60\pm12,>6
170906627,2017-09-06 15:03 - 15:40,18, 2.9 \pm 0.4  ,137,24,Exp,1.20\pm1.29,59\pm23, 5.6 \pm 0.8  
170906698,2017-09-06 16:45 - 17:09,19, 3.6 \pm 0.5  ,130,24,Exp,1.24\pm1.24,64\pm22, 5.2 \pm 0.7  
170906760,2017-09-06 18:14 - 18:50,36, 2.73 \pm 0.24  ,337,49,Exp,0.67\pm0.68,71\pm17, 5.4 \pm 0.5  
170906830,2017-09-06 19:55 - 20:20,25, 2.27 \pm 0.35  ,96,17,Exp,0.74\pm1.33,65\pm27,>6
170906893,2017-09-06 21:25 - 22:00,35, 2.56 \pm 0.24  ,318,36,Exp,0.11\pm0.67,84\pm24, 5.5 \pm 0.5  
170906962,2017-09-06 23:05 - 23:31,26, 0.96 \pm 0.22  ,43,4,PL,-3.06\pm0.30,-,-
170907025,2017-09-07 00:36 - 01:11,35, 0.62 \pm 0.13  ,52,4,PL,-2.63\pm0.22,-,-
170910662,2017-09-10 15:52 - 16:28,35, 291.0 \pm 2.1  *,61725,4429,Exp,-0.67\pm0.03,195\pm4, 3.737 \pm 0.026  
170910732,2017-09-10 17:33 - 17:58,24, 76.4 \pm 1.9  ,6112,469,Exp,-0.70\pm0.30,248\pm49, 3.30 \pm 0.06  
170910794,2017-09-10 19:03 - 19:39,36, 88.3 \pm 1.3  ,16954,1819,Exp,-0.02\pm0.07,140\pm5, 3.70 \pm 0.05  
170910864,2017-09-10 20:44 - 21:08,24, 35.8 \pm 1.3  ,2311,276,Exp,0.07\pm0.22,117\pm11, 4.18 \pm 0.14  
170910926,2017-09-10 22:13 - 22:49,36, 15.0 \pm 0.5  ,2559,315,Exp,0.35\pm0.22,91\pm8, 4.67 \pm 0.16  
170910996,2017-09-10 23:54 - 00:18,24, 5.6 \pm 0.5  ,310,68,Exp,2.03\pm0.84,55\pm11, 4.9 \pm 0.4  
170911058,2017-09-11 01:23 - 02:00,36, 2.38 \pm 0.22  ,284,55,Exp,1.69\pm0.83,48\pm10, 6.0 \pm 0.5  
170911129,2017-09-11 03:05 - 03:29,24, 1.39 \pm 0.28  ,59,12,Exp,1.00\pm1.58,70\pm34, 5.0 \pm 1.0  
170911190,2017-09-11 04:34 - 05:11,37, 0.49 \pm 0.11  ,43,2,PL,-2.65\pm0.24,-,-
